,date,timestamp,event_auction_id,event_type,event_exchange,event_app_or_site,event_app_site_name,event_city,event_country,event_has_gps,event_creative_size,event_device_type,event_device_language,event_os,event_os_version,event_connection_type,event_device_model,event_device_make,event_has_ifa,win_price,win_price_loc,event_ias_cpm,longitude,latitude,event_hash_ifa,event_hash_ip,event_media_type,event_bidder_name,event_site_or_app_categories,event_zip_code,event_imp_multiplier,advertiser_id,creative_type,creative_size,line_id,schedule_start,schedule_end,line_updated_at,mediaplan_daily_budget,mediaplan_id,mediaplan_currency,deal_cpm,event_hash_geo_name,hash_deal_identifier,event_hash_branding_to_store
616,2019-08-15,2019-08-15 17:22:15.601 UTC,31ad65cfbf8111e9a1bd1d5dbd730007,click,spotx,site,www.thairath.co.th,Pattaya,THA,False,,4,,Android,,,Oppo F3 Plus,oppo,False,0.0,0.0,,,,,6.259391357033639e+18,,,,,,5dbdc799-46d0-4f47-82a9-f58dd08ebc94,vast,,49a7cad5-17bb-4fd6-9747-792e2ab0ad7f,2019-07-28 22:00:00 UTC,2019-09-01 21:59:59 UTC,2019-08-12 08:35:27.469 UTC,,3ab0ad73-a6c3-4396-96e1-8b5203069520,EUR,17.0,,b17b7e22532b4927f7cd4db1adbb1f402c461975cd121a57b3fb7ed4155e5c53,
618,2019-08-15,2019-08-15 17:22:24.365 UTC,31ad65cfbf8111e9a1bd1d5dbd730007,click,spotx,site,www.thairath.co.th,Pattaya,THA,False,,4,,Android,,,Oppo F3 Plus,oppo,False,0.0,0.0,,,,,6.259391357033639e+18,,,,,,5dbdc799-46d0-4f47-82a9-f58dd08ebc94,vast,,49a7cad5-17bb-4fd6-9747-792e2ab0ad7f,2019-07-28 22:00:00 UTC,2019-09-01 21:59:59 UTC,2019-08-12 08:35:27.469 UTC,,3ab0ad73-a6c3-4396-96e1-8b5203069520,EUR,17.0,,b17b7e22532b4927f7cd4db1adbb1f402c461975cd121a57b3fb7ed4155e5c53,
705,2019-08-16,2019-08-16 18:27:23.892 UTC,31b06af5-5492-43b8-a81e-bfedb2395e52,click,mopub,app,Flip Dunk Android,Berlin,DEU,False,,4,,Android,,,Samsung Galaxy J5,Samsung,False,0.0,0.0,,,,-2.416336918342959e+18,1.602635959440333e+18,,,,,,a13c3c41-8900-4a2f-9772-cd2f924f5854,javascript,320*480,2c785c0d-614b-423b-a86b-0b1eaf9f0743,2019-06-30 22:00:00 UTC,2019-08-31 21:59:59 UTC,2019-06-28 15:17:12.931 UTC,715.0,b00360f7-10b7-4f22-997a-64cf8ad5af73,EUR,,c4f23fb9cd085ec38f1ee8d74bbcad43cabca17d79fc813f8dbb323727bb092e,,
1500,2019-08-15,2019-08-15 19:45:59.902 UTC,31d09a82-5217-4897-b186-2e40a752518e,click,mopub,app,QR Scanner Mix Pro,Kirkland,USA,False,,1,,Android,,,Zte Blade Z,ZTE,False,0.0,0.0,,,,-1.7060273200942902e+18,5.125748913999572e+18,,,,,,a27a5dd1-4ce4-49c2-8d6c-49436aeb2bef,mraid2,300*250,d7d4bd65-ef3a-49fa-887f-b8c0c285a47c,2019-07-26 05:00:00 UTC,2019-08-26 04:59:59 UTC,2019-08-01 09:57:45.883 UTC,,f4c3e867-79c1-4fd7-9b47-4d93a995c688,USD,,,,
1861,2019-08-19,2019-08-19 17:54:03.328 UTC,31e0d2df11684f20bb20f95a668973f5,click,nexage,app,Solitaire Classic3 Android,BRUSSELS,BEL,False,,5,,Android,,,Samsung Galaxy Tab A,Samsung,False,0.0,0.0,,,,-7.323583032321838e+18,-3.110210185605614e+18,,,,,,75710170-a579-4d9d-b889-0a680a6dcbc5,javascript,320*480,65370bfe-1ace-4149-b3bf-b750134b2cb1,2019-07-09 22:00:00 UTC,2019-08-25 21:59:59 UTC,2019-08-02 14:55:00.375 UTC,,d88da5ba-9bb9-45b2-9286-afe32cd69841,USD,,9f62bf7a417ca72bb08f4f9d9693ae137e40d6bab4258fce5385e81c3563feb5,,
3664,2019-08-20,2019-08-20 15:04:52.829 UTC,32264775-e601-4364-a9cd-0ee83529b702,click,mopub,app,Musi - Simple Music Streaming,Barking,GBR,False,,4,,iOS,,,Iphone,Apple,False,0.0,0.0,,,,-6.282170161393264e+18,-4.3892994415235763e+18,,,,,,e0d5da8d-27a5-484b-b343-5cd6a059518e,banner,320*50,3632e99c-d8c0-4aac-8d80-0618534434d0,2019-08-15 00:00:00 UTC,2019-08-28 23:59:59 UTC,2019-08-15 15:55:15.419 UTC,234.0,c180bbbd-f9b3-4d20-b76f-79fa309b105e,GBP,,4c5449effc93002fdb07b0753c617d9a86769d2e2931c0f8d91be19a0db92980,,
4058,2019-08-17,2019-08-17 14:49:19.022 UTC,32387893342ac443af20dec52d56c6ab1d55a5b9_67,click,rubicon,app,Words With Friends â€“ Play Free,,USA,False,,4,,Android,,,Lg G6,verizon,False,0.0,0.0,,,,-5.5071505528752736e+17,-3.628335712651763e+18,,,,,,52c17b72-423e-4b7f-8b7f-5368d809b4eb,gpstore,320*480,113066b1-598e-4d9d-8cd7-e01b728e4ed2,2019-07-10 05:00:00 UTC,2019-09-01 04:59:59 UTC,2019-07-15 10:41:03.924 UTC,,378f0ed5-369f-419c-b74c-14ad2d7b4481,USD,,eaa28b4dd575f266b837625933cceab2613846313cf6cd7b6c787327083778a6,,
4439,2019-08-15,2019-08-15 02:57:05.221 UTC,3247932966342895089,click,appnexus,site,clubic.com,Thonon-les-bains,FRA,False,,4,,iOS,,,Iphone,Apple,False,0.0,0.0,,,,,-4.1085698428750065e+18,,,,,,93e6d207-83ca-4353-b336-1c32a5b5cda1,html,320*100,2923eebf-1399-47f3-b13f-591da38b7c72,2019-03-31 22:00:00 UTC,2019-12-31 22:59:59 UTC,2019-04-04 14:27:10.559 UTC,,78eae36b-e9f9-49ab-a3bb-6f308422962d,EUR,,,,
5821,2019-08-20,2019-08-20 16:26:45.901 UTC,327e5627-919f-4af0-8561-6fb6e34d2134,click,mopub,app,TuneIn Radio (Android),Etterbeek,BEL,False,,1,,Android,,,Samsung Galaxy J7,Samsung,False,0.0,0.0,,,,5.392862363725668e+18,-5.930436480892504e+18,,,,,,9f3ea0fd-0a49-4e13-aa62-e84eab1c1a02,javascript,300*250,88d816e4-1c26-4975-9e84-0b75f97dd876,2019-08-18 22:00:00 UTC,2019-08-25 21:59:59 UTC,2019-08-08 13:48:50.669 UTC,,160f15a8-4c18-489d-ad07-611469fca423,EUR,,0b7be1cd6970e11bb31f29b4a170ed31ad70dae687c72dd70c25e86860103dae,,
6163,2019-08-21,2019-08-21 22:28:57.989 UTC,328c065e1cf344b98d0a57845923a4a3,click,nexage,app,Weather_BUX_GP_com.apalon.weatherlive.free,TUNBRIDGE WELLS,GBR,False,,4,,Android,,,Samsung Galaxy A5,Samsung,False,0.0,0.0,,,,-5.19898933624354e+17,-1.0242976428959752e+18,,,,,,240113a1-c357-4d0f-b59e-da3a3bcbb2db,mraid2,320*50,fc67187f-274a-402b-b86b-7ea81ab4ff50,2019-08-01 00:00:00 UTC,2019-08-31 23:59:59 UTC,2019-08-15 10:29:43.469 UTC,3000.0,f810cbd5-fcf5-464f-b26c-d8721b893a85,GBP,,e4fb7e54825c77b1ae534e7c102a1523f06436ba2564b78ad95bdfab16f0aa72,,
6690,2019-08-16,2019-08-16 17:21:14.289 UTC,32a32021-438c-42a3-9bd2-fbf88427ed15,click,teads,site,El Universal,leon de los aldama,MEX,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,5.828288564026367e+18,,,,,,5dbdc799-46d0-4f47-82a9-f58dd08ebc94,vast,,337944ea-44a9-4bcb-acc4-6d869b5afe30,2019-07-28 22:00:00 UTC,2019-09-20 21:59:59 UTC,2019-09-05 08:28:08.879 UTC,,ea1c135a-6354-421f-9598-16c39b7e4f13,EUR,9.0,,3b11a526c35d05714acab5cc9704bb3b09d3a6e00a4fd949b56010beadc79a0d,
8466,2019-08-20,2019-08-20 12:58:34.918 UTC,32ef01c3c34a11e9b7ae130896090007,click,spotx,site,www.thairath.co.th,,THA,False,,4,,Android,,,sm-n960f,Samsung,False,0.0,0.0,,,,,4.728823574689106e+18,,,,,,5dbdc799-46d0-4f47-82a9-f58dd08ebc94,vast,,49a7cad5-17bb-4fd6-9747-792e2ab0ad7f,2019-07-28 22:00:00 UTC,2019-09-01 21:59:59 UTC,2019-08-12 08:35:27.469 UTC,,3ab0ad73-a6c3-4396-96e1-8b5203069520,EUR,17.0,,b17b7e22532b4927f7cd4db1adbb1f402c461975cd121a57b3fb7ed4155e5c53,
10394,2019-08-20,2019-08-20 10:19:13.566 UTC,333cb64ebf424d1f9b5eae3b20bcb46b,click,nexage,app,Solitaire - iOS,NEWBURY,GBR,False,,4,,iOS,,,Iphone,Apple,False,0.0,0.0,,,,-8.311560113774688e+18,-5.438899000335879e+18,,,,,,c7026881-32ba-4e7b-963e-78bdf4bd42ac,javascript,320*480,b95486ef-0bfa-4248-b3fd-a66a2729af78,2019-07-21 23:00:00 UTC,2019-08-31 22:59:59 UTC,2019-08-07 09:27:33.183 UTC,,76757fd0-b62f-4c7b-9fde-062ad2543cff,USD,,3eabe6d78c6f812c3d6e6fe66acea3201060c92cc03e419ff3e83353424013df,,
11067,2019-08-17,2019-08-17 13:12:16.808 UTC,3356e30d-5bb3-467b-9049-88ed6747e34a,click,mopub,app,Paint by Numbers: New Coloring Pictures Book Free,Ronse,BEL,False,,4,,Android,,,Lg G7 Thinq,LG,False,0.0,0.0,,,,3.591906042564309e+18,-4.516233306599803e+18,,,,,,5653e97f-c7e3-4e6c-834d-4da2090902d9,adspot,320*50,a9486eb6-9371-43c5-8330-934c9a984238,2019-07-16 22:00:00 UTC,2019-08-18 21:59:59 UTC,2019-07-26 12:39:53.254 UTC,,af8fdb95-b6d0-422d-8be4-3f759fb67389,USD,,,,
11510,2019-08-20,2019-08-20 19:04:04.459 UTC,336b28f683e542d4a5c354429e54719b,click,nexage,app,Solitaire - iOS,LONDON,GBR,False,,4,,iOS,,,Iphone,Apple,False,0.0,0.0,,,,-6.119527011887742e+18,7.958607955090995e+18,,,,,,2ae124ef-5efa-4a24-a7ac-646d9fed837b,javascript,320*480,e044b16d-4320-4197-875e-ae0e111293e5,2019-08-07 23:00:00 UTC,2019-09-08 22:59:59 UTC,2019-08-29 15:22:42.555 UTC,,fed22126-6256-4440-9b75-2520a6161753,USD,,bfef15b73ec1dd94b2b5a5de82a236c1f1e42ceda9adffbcc5a88ba392eb8c0a,,
